explored,fetched,tiles,routeTime,setupTime,tileTime,route#
8,1378,4,0.4277999997138977,3530.0937999784946,0,49
8,1448,4,0.48920002579689026,4237.155900001526,0,50
8,1448,4,0.46939998865127563,3467.84399998188,0,51
8,1448,4,0.36550000309944153,3710.8021999895573,0,52
8,1448,4,0.7032000124454498,3335.0016999840736,0,53
8,549,3,0.5118000209331512,3413.409300029278,0,54
8,549,3,0.2224000096321106,1303.173299998045,0,55
8,1983,4,0.2191999852657318,10390.446000009775,0,56
8,1983,4,0.27900001406669617,4176.9432999789715,0,57
8,565,3,0.15860000252723694,3076.6066000163555,0,58
8,1346,4,0.6488000154495239,3400.291900008917,0,59
10,1523,4,2.3651999831199646,3921.5670999884605,0,60
8,693,4,0.26749998331069946,4403.361699998379,0,61
8,693,4,0.177700012922287,1869.7751999795437,0,62
8,1974,4,0.7118000090122223,7548.462300002575,0,63
8,837,4,0.22200000286102295,3649.8280999958515,0,64
8,2090,4,1.6556000113487244,7749.365299999714,0,65
8,878,4,0.23569998145103455,4264.514200001955,0,66
8,365,4,0.3644999861717224,3280.146600008011,0,67
8,297,4,0.28450000286102295,2202.6491999924183,0,68
8,146,4,0.23280000686645508,1950.682999998331,0,69
8,1686,4,0.2491999864578247,5992.785800009966,0,70
8,524,4,0.1712000072002411,3194.182700008154,0,71
12,105,5,230.74280002713203,1010.3027000129223,230.52189999818802,72
8,1323,4,0.32100000977516174,6982.796199977398,0,73
8,578,4,0.24210000038146973,5057.860300004482,0,74
8,2262,4,0.16209998726844788,9176.686100006104,0,75
8,363,4,0.25270000100135803,2808.062799990177,0,76
8,238,4,0.2602999806404114,3026.8559000194073,0,77
8,2257,4,0.31949999928474426,7084.901699990034,0,78
8,2328,4,0.22679999470710754,7418.3122999966145,0,79
8,995,4,0.3070000112056732,3972.9550999999046,0,80
8,1179,4,0.1832999885082245,4028.6856999993324,0,81
8,661,4,0.3490999937057495,4210.5885999798775,0,82
8,165,4,0.22369998693466187,2322.37990000844,0,83
8,131,3,0.23910000920295715,1425.6195999979973,0,84
8,2864,4,0.1515999734401703,9685.696399986744,0,85
8,129,4,0.2669000029563904,1939.6096999943256,0,86
8,129,4,0.23719999194145203,1455.3296999931335,0,87
8,40895,4,0.3418000042438507,75201.84890002012,0,88
8,208,4,0.2468000054359436,1694.0164000093937,0,89
8,208,4,0.29349997639656067,1332.8456000089645,0,90
8,232,3,0.21290001273155212,1896.0753999948502,0,91
8,320,4,0.18560001254081726,2232.2624000012875,0,92
8,238,4,0.2760999798774719,2190.0257000029087,0,93
,0,0,,,0,94
,0,0,,,0,95
6,58,3,0.3409999907016754,854.3052999973297,0,96
8,58,3,0.17010000348091125,489.44780001044273,0,97
8,58,3,0.22119998931884766,480.4147000014782,0,98
8,281,4,0.1851000189781189,1700.2481000125408,0,99
8,243,3,0.15759998559951782,788.0319000184536,0,100
8,243,3,0.26829999685287476,849.6783999800682,0,101
8,243,3,0.22429999709129333,859.3292999863625,0,102
8,243,3,0.25040000677108765,910.8936000168324,0,103
8,243,3,0.25530001521110535,924.1830999851227,0,104
8,243,3,0.23719999194145203,911.7891000211239,0,105
